username,password,role
admin,5f4dcc3b5aa765d61d8327deb882cf99,admin
manager1,d41d8cd98f00b204e9800998ecf8427e,manager
manager2,d41d8cd98f00b204e9800998ecf8427e,manager
staff1,e10adc3949ba59abbe56e057f20f883e,staff
staff2,e10adc3949ba59abbe56e057f20f883e,staff
staff3,e10adc3949ba59abbe56e057f20f883e,staff
staff4,e10adc3949ba59abbe56e057f20f883e,staff
staff5,e10adc3949ba59abbe56e057f20f883e,staff
staff6,e10adc3949ba59abbe56e057f20f883e,staff
staff7,e10adc3949ba59abbe56e057f20f883e,staff
staff8,e10adc3949ba59abbe56e057f20f883e,staff
staff9,e10adc3949ba59abbe56e057f20f883e,staff
staff10,e10adc3949ba59abbe56e057f20f883e,staff
staff11,e10adc3949ba59abbe56e057f20f883e,staff
staff12,e10adc3949ba59abbe56e057f20f883e,staff
staff13,e10adc3949ba59abbe56e057f20f883e,staff
staff14,e10adc3949ba59abbe56e057f20f883e,staff
staff15,e10adc3949ba59abbe56e057f20f883e,staff
staff16,e10adc3949ba59abbe56e057f20f883e,staff
staff17,e10adc3949ba59abbe56e057f20f883e,staff
staff18,e10adc3949ba59abbe56e057f20f883e,staff
staff19,e10adc3949ba59abbe56e057f20f883e,staff
staff20,e10adc3949ba59abbe56e057f20f883e,staff
